timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
1440291543,1550508379528412,-1550506939258712,-1550506939240426,43672
1440384558,1550508379621148,-1550506939254620,-1550506939240426,36044
1440476277,1550508379713638,-1550506939249233,-1550506939240426,23737
1440569338,1550508379804241,-1550506939243903,-1550506939240426,17992
1440657620,1550508379895945,-1550506939240502,-1550506939240420,4320
1440769408,1550508380005265,-1550506939244549,-1550506939240420,17376
1440878549,1550508380116014,-1550506939248795,-1550506939240420,22655
1440969522,1550508380207940,-1550506939244956,-1550506939240420,13071
1441300011,1550508380536747,-1550506939259762,-1550506939240420,46046
1441393207,1550508380627687,-1550506939253695,-1550506939240420,34593
1441483336,1550508380719039,-1550506939250230,-1550506939240420,29040
1441575274,1550508380811761,-1550506939245387,-1550506939240420,17795
1441666512,1550508380904931,-1550506939244844,-1550506939240420,12843
1441776733,1550508381013818,-1550506939248583,-1550506939240420,22982
1441959517,1550508381196877,-1550506939239737,-1550506939240412,4713
1442071384,1550508381307331,-1550506939243821,-1550506939240412,15741
1442162468,1550508381398419,-1550506939239843,-1550506939240404,7751
1442308344,1550508381543880,-1550506939261389,-1550506939240404,51699
1442399148,1550508381634924,-1550506939257315,-1550506939240404,43064
1442490334,1550508381726989,-1550506939253501,-1550506939240404,33687
1442582721,1550508381820073,-1550506939250722,-1550506939240404,26733
1442693291,1550508381929330,-1550506939251978,-1550506939240404,31865
1442785553,1550508382021293,-1550506939248490,-1550506939240404,24983
1442895291,1550508382131603,-1550506939253152,-1550506939240404,33667
1442967220,1550508382204162,-1550506939240597,-1550506939240398,7285
1443078498,1550508382316196,-1550506939246456,-1550506939240398,17508
1443170458,1550508382407336,-1550506939243325,-1550506939240398,12888
1443372360,1550508382608704,-1550506939243888,-1550506939240398,15081
1443499277,1550508382735242,-1550506939253909,-1550506939240398,35880
1443588764,1550508382826301,-1550506939253151,-1550506939240398,31220
1443686116,1550508382919078,-1550506939248300,-1550506939240398,25082
1443774105,1550508383009686,-1550506939241935,-1550506939240398,12701
1443867331,1550508383102533,-1550506939239929,-1550506939240390,9413
1443975330,1550508383211616,-1550506939244489,-1550506939240390,16400
1444175550,1550508383413658,-1550506939246548,-1550506939240390,16873
1444288337,1550508383524151,-1550506939248330,-1550506939240390,25027
